product_id,source_platform,collection_date,price_cny,sales_lower_bound,sales_is_censored,sales_observed,official_store_claimed,museum_name,museum_ip_flag,product_category,product_format,price_tier,title_length_chars,keyword_excavation,keyword_gift,keyword_collectible,cluster_id,interpreted_cluster_label
product_1864e8e70403,Hooos public Taobao/Tmall listing index,2026-08-29,58.0,29.0,False,True,True,Sanxingdui,True,Figurine / Display,Plush / Bag Charm,Mass Market (51-100 CNY),30,False,True,False,2,Broad museum collectible assortment
product_d3ec48e34c89,Hooos public Taobao/Tmall listing index,2026-08-29,78.0,48.0,False,True,True,Sanxingdui,True,Figurine / Display,Magnet,Mass Market (51-100 CNY),30,False,True,False,2,Broad museum collectible assortment
product_adc80f0885c0,Hooos public Taobao/Tmall listing index,2026-08-29,44.5,,False,False,True,Palace Museum,True,Figurine / Display,Figurine,Budget (<=50 CNY),29,False,True,True,2,Broad museum collectible assortment
product_6deabd63cdd8,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),29,True,True,False,1,Official museum excavation kits
product_3919a73b5cfe,Hooos public Taobao/Tmall listing index,2026-08-29,78.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_346f32cc0e4f,Hooos public Taobao/Tmall listing index,2026-08-29,68.0,,False,False,True,Sanxingdui,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
product_4e87a8f7afc6,Hooos public Taobao/Tmall listing index,2026-08-29,68.9,,False,False,True,Gansu Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,True,1,Official museum excavation kits
product_e66d844aa453,Hooos public Taobao/Tmall listing index,2026-08-29,13.5,,False,False,True,Sanxingdui,True,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_d695849cfeb8,Hooos public Taobao/Tmall listing index,2026-08-29,13.8,,False,False,True,Other / Unclear,False,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_62baa458ecea,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Qingdao Beer Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),34,False,True,True,4,Premium museum figurines
product_df9956f7790a,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Gansu Museum,True,Excavation Kit,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_4631544b1ff3,Hooos public Taobao/Tmall listing index,2026-08-29,44.5,,False,False,True,Palace Museum,True,Figurine / Display,Figurine,Budget (<=50 CNY),29,False,True,True,2,Broad museum collectible assortment
product_c409400960cc,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Qingdao Beer Museum,True,Figurine / Display,Other Blind-box Format,Mass Market (51-100 CNY),32,False,False,False,4,Premium museum figurines
product_21bb98348ce8,Hooos public Taobao/Tmall listing index,2026-08-29,69.0,,False,False,True,Qingdao Beer Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),34,False,True,True,4,Premium museum figurines
product_5abb69dad01a,Hooos public Taobao/Tmall listing index,2026-08-29,112.0,,False,False,True,Gansu Museum,True,Excavation Kit,Excavation / DIY Kit,Premium (101-200 CNY),31,True,False,False,1,Official museum excavation kits
product_b8ea103e26df,Hooos public Taobao/Tmall listing index,2026-08-29,65.55,,False,False,True,Suzhou Museum,True,Figurine / Display,Gift Bag / Assortment,Mass Market (51-100 CNY),30,False,True,False,2,Broad museum collectible assortment
product_559e8db57904,Hooos public Taobao/Tmall listing index,2026-08-29,69.5,,False,False,True,Palace Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_e7ce296394f3,Hooos public Taobao/Tmall listing index,2026-08-29,47.9,,False,False,True,Shandong Museum,True,Figurine / Display,Gift Bag / Assortment,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_3e855e4fea9a,Hooos public Taobao/Tmall listing index,2026-08-29,59.8,,False,False,False,Suzhou Museum,True,Excavation Kit,Excavation / DIY Kit,Mass Market (51-100 CNY),30,True,True,False,1,Official museum excavation kits
